RTlog,RTms,Word,WordCategory,WrittenFrequency,CV,AgeSubject
6.54375355965694,694.8899999999974,doe,N,3.91202300542815,C,young
6.3975960997593,600.3999999999961,whore,N,4.52178857704904,C,young
6.30494228210337,547.2699999999971,stress,N,6.50578406012823,C,young
6.42422051545205,616.6,pork,N,5.01727983681492,C,young
6.45059679646508,633.0799999999982,plug,N,4.89034912822175,C,young
6.53197032497538,686.749999999998,prop,N,4.77068462446567,C,young
6.37058567987654,584.3999999999975,dawn,N,6.383506634884,C,young
6.2668589342206,526.8199999999974,dog,N,7.15929190479756,C,young
6.60864818886089,741.4800000000012,arc,N,4.89034912822175,V,young
6.28484286510464,536.3799999999985,skirt,N,5.92958914338989,C,young
6.60716356790878,740.3799999999969,spree,N,3.40119738166216,C,young
6.41439294709245,610.5699999999995,are,N,11.2796936982972,V,young
6.63358155655515,760.2000000000012,sprig,N,3.52636052461616,C,young
6.33315528648419,562.9300000000013,pipe,N,5.99893656194668,C,young
6.47212988777908,646.8599999999992,hooch,N,1.94591014905531,C,young
6.32597056627565,558.8999999999987,guard,N,6.59441345974978,C,young
6.47245448030239,647.0699999999983,tile,N,4.07753744390572,C,young
6.44974345970876,632.5399999999997,slope,N,5.80211837537706,C,young
6.38820840207076,594.7899999999983,pile,N,6.16120732169508,C,young
6.37587624601831,587.4999999999974,greed,N,5.03043792139244,C,young
6.42433403479506,616.6700000000019,plum,N,3.97029191355212,C,young
6.54514849067587,695.8599999999976,pith,N,2.484906649788,C,young
6.65544035036765,777.000000000002,whorl,N,0.693147180559945,C,young
6.39359075395063,597.9999999999987,tide,N,6.08449941307517,C,young
6.29882056210583,543.9300000000018,jet,N,5.40717177146012,C,young
6.50964803527717,671.5900000000033,blitz,N,4.18965474202643,C,young
6.32491436367301,558.3099999999993,weed,N,5.12396397940326,C,young
6.56629261084571,710.7300000000006,prow,N,2.99573227355399,C,young
6.52702180709316,683.3600000000024,port,N,6.08449941307517,C,young
6.3812405557515,590.6599999999964,beach,N,6.96696713861398,C,young
6.36837584779809,583.1100000000026,while,N,9.3061958576197,C,young
6.29236511897893,540.4300000000014,jaw,N,5.40717177146012,C,young
6.27703814829566,532.210000000001,arm,N,7.54802896993501,V,young
6.45535578368476,636.1000000000007,plan,N,7.46278915741245,C,young
6.34968080261554,572.3100000000021,pill,N,5.4553211153577,C,young
6.47256265440098,647.1399999999985,loft,N,3.85014760171006,C,young
6.53373069670829,687.9599999999991,grouch,N,1.38629436111989,C,young
6.54276010342769,694.2000000000028,spire,N,4.56434819146784,C,young
6.37660789319285,587.9300000000007,plate,N,6.48768401848461,C,young
6.42363649804471,616.2399999999996,week,N,8.48755838628655,C,young
6.3554477207612,575.6199999999968,spine,N,5.32300997913841,C,young
6.33327962813969,562.9999999999997,glove,N,4.4188406077966,C,young
6.36394147938917,580.5300000000024,beast,N,5.70044357339069,C,young
6.32312163807142,557.3099999999987,art,N,7.9973268229981,V,young
6.7751377543673,875.8000000000019,lisle,N,1.6094379124341,C,young
6.48220480361062,653.4100000000032,ant,N,4.24849524204936,V,young
6.44088274274461,626.9600000000006,chunk,N,4.14313472639153,C,young
6.46533568788021,642.4800000000022,ease,N,6.36302810354046,V,young
6.61097864273742,743.2100000000024,yore,N,1.79175946922805,C,young
6.53580714861058,689.3900000000032,brute,N,4.49980967033027,C,young
6.51383823457297,674.4100000000018,globe,N,5.22035582507832,C,young
6.364234272378,580.6999999999975,crest,N,4.68213122712422,C,young
6.5170506963472,676.5800000000017,churn,N,3.13549421592915,C,young
6.38968682244656,595.6699999999988,cloth,N,6.69826805411541,C,young
6.38617199856319,593.5800000000025,shirt,N,6.70073110954781,C,young
6.65654655939958,777.8599999999966,froth,N,3.68887945411394,C,young
6.71544399055881,825.0499999999964,czar,N,3.04452243772342,C,young
6.62882149508806,756.5900000000021,chive,N,1.09861228866811,C,young
6.50721800911027,669.9600000000003,east,N,6.64898455002478,V,young
6.4405477370384,626.7499999999981,cliff,N,5.57972982598622,C,young
6.39942653541473,601.4999999999981,moose,N,2.70805020110221,C,young
6.5617941650217,707.539999999997,dearth,N,2.83321334405622,C,young
6.30539899070383,547.5200000000009,bride,N,5.23644196282995,C,young
6.45029663137203,632.8900000000008,roach,N,4.74493212836325,C,young
6.446973002078,630.79,base,N,7.08002649992259,C,young
6.37903720237456,589.3600000000012,zone,N,5.31320597904179,C,young
6.25862498383897,522.5000000000018,face,N,8.98732181285012,C,young
6.38901508413054,595.2699999999998,chop,N,4.88280192258637,C,young
6.4003072779542,602.0300000000016,sketch,N,5.04342511691925,C,young
6.41037223091264,608.1200000000028,woe,N,3.89182029811063,C,young
6.31385596987825,552.1700000000002,light,N,8.54752839121231,C,young
6.50151487040622,666.1499999999995,fawn,N,3.36729582998647,C,young
6.53198488620901,686.759999999999,rite,N,4.06044301054642,C,young
6.51897028112517,677.8799999999991,plough,N,5.18738580584075,C,young
6.43752762464465,624.8599999999973,jack,N,4.30406509320417,C,young
6.32834741369488,560.229999999998,back,N,10.0020651158971,C,young
6.61992652910708,749.8899999999986,chow,N,2.77258872223978,C,young
6.47191343421526,646.7200000000024,cent,N,9.21423278669153,C,young
6.41450758749022,610.6400000000034,batch,N,4.27666611901606,C,young
6.44506881387667,629.5899999999972,bitch,N,5.60947179518496,C,young
6.34189251928624,567.8700000000014,fact,N,9.11943049661634,C,young
6.43380788330258,622.5399999999997,fence,N,5.99146454710798,C,young
6.36818718635049,582.9999999999989,string,N,6.01126717440416,C,young
6.5186604437873,677.6700000000044,strife,N,4.71849887129509,C,young
6.58336772752194,722.9699999999999,sprite,N,1.94591014905531,C,young
6.49323933535355,660.659999999997,herb,N,4.47733681447821,C,young
6.45356200478262,634.96000000000015,herd,N,5.18178355029209,C,young
6.5372132006632,690.3599999999985,grove,N,4.97673374242057,C,young
6.33917694717132,566.3300000000027,wow,N,3.61091791264422,C,young
6.40123703180245,602.5900000000003,word,N,8.2817239904114,C,young
6.4902985580216,658.7200000000034,sake,N,6.8373328146856,C,young
6.5649409738923,709.7699999999952,knoll,N,3.49650756146648,C,young
6.5287762961098,684.5600000000006,sash,N,3.73766961828337,C,young
6.49648837294614,662.8100000000024,aisle,N,4.86753445045558,V,young
6.25099788520506,518.5300000000001,knife,N,6.49828214947643,C,young
6.37917293362689,589.4400000000016,flame,N,5.59471137960184,C,young
6.344425101234,569.3100000000017,worm,N,4.89783979995091,C,young
6.51840955275386,677.5000000000025,torque,N,3.63758615972639,C,young
6.37043166390992,584.3100000000011,sack,N,5.48893772615669,C,young
6.4343057193321,622.8499999999989,hearth,N,4.39444915467244,C,young
6.31674943808862,553.770000000001,do,N,10.5543533408395,C,young
6.7189527660885,827.9500000000056,flail,N,2.77258872223978,C,young
6.37087653422045,584.5699999999993,branch,N,6.86901445066571,C,young
6.30340621158099,546.4299999999997,thought,N,9.462421173185,C,young
6.35410913719975,574.8500000000003,theme,N,6.20859002609663,C,young
6.41673228251233,612.0000000000022,grill,N,4.38202663467388,C,young
6.39764606519989,600.4300000000014,debt,N,6.11809719804135,C,young
6.53550248508007,689.1799999999997,eel,N,4.38202663467388,V,young
6.36278669509345,579.8600000000026,bowl,N,6.26530121273771,C,young
6.35841402676555,577.3300000000011,book,N,8.50370260123374,C,young
6.40727594727029,606.2399999999997,sense,N,8.54675199365778,C,young
6.53341085953176,687.7399999999984,flair,N,4.00733318523247,C,young
6.39972574251815,601.6800000000015,swine,N,3.61091791264422,C,young
6.48938728551845,658.1200000000001,stance,N,5.48893772615669,C,young
6.33327962813969,562.9999999999997,church,N,7.95331834656043,C,young
6.5866956554734,725.3799999999983,boon,N,6.57368016696065,C,young
6.56703804509566,711.2600000000016,stench,N,4.34380542185368,C,young
6.33829367973119,565.8300000000004,blast,N,5.29831736654804,C,young
6.29513684180739,541.9300000000018,ear,N,6.62273632394984,V,young
6.36984961164574,583.9700000000017,draft,N,5.29831736654804,C,young
6.32589899456076,558.8599999999982,boss,N,6.02586597382531,C,young
6.33606437944487,564.5699999999991,lake,N,6.57786135772105,C,young
6.37456474808287,586.73,boot,N,5.07517381523383,C,young
6.34829947824808,571.5200000000003,page,N,6.98007594056176,C,young
6.56200614470071,707.689999999998,psalm,N,3.68887945411394,C,young
6.40646735969664,605.7500000000028,pace,N,6.44571981938558,C,young
6.40146933525818,602.730000000001,lace,N,5.25227342804663,C,young
6.32466357548024,558.1700000000011,task,N,7.06902342657826,C,young
6.44703641261368,630.8299999999989,pawn,N,3.71357206670431,C,young
6.30318658019478,546.3099999999988,lawn,N,5.91079664404053,C,young
6.28502928271792,536.4800000000008,court,N,7.73061406606374,C,young
6.43557327880835,623.6399999999998,dwarf,N,4.86753445045558,C,young
6.31148069338366,550.8599999999981,count,N,7.23993259132047,C,young
6.4281698909522,619.039999999998,pack,N,6.17378610390194,C,young
6.4723462945009,646.9999999999997,nonce,N,1.09861228866811,C,young
6.35029217236479,572.6599999999999,shame,N,6.0591231955818,C,young
6.34315961200632,568.590000000001,stole,N,5.23644196282995,C,young
6.66651140063614,785.6499999999995,lass,N,3.2188758248682,C,young
6.4923458900025,660.069999999998,freight,N,4.60517018598809,C,young
6.30109767262976,545.1700000000005,coke,N,4.61512051684126,C,young
6.46647126500758,643.2099999999994,whack,N,3.13549421592915,C,young
6.45894938185251,638.3899999999977,stunt,N,4.24849524204936,C,young
6.60665018619822,740.0000000000031,clause,N,4.85203026391962,C,young
6.47812554387467,650.7499999999969,tact,N,4.34380542185368,C,young
6.40471593001658,604.6899999999998,pact,N,5.79909265446053,C,young
6.66482985015647,784.3300000000004,cowl,N,1.79175946922805,C,young
